kota,kecamatan,kelurahan,luas_daerah,kepadatan,jumlah_penduduk,panjang_jalan,tahun,macet
JAKARTA UTARA,CILINCING,SUKAPURA,5.61,11574.63,1778981.0,1101.0,2020,1
JAKARTA UTARA,CILINCING,MARUNDA,7.92,3721.79,1778981.0,1101.0,2020,0
JAKARTA UTARA,CILINCING,KALI BARU,2.47,33884.88,1778981.0,1101.0,2020,1
JAKARTA UTARA,CILINCING,SEMPER TIMUR,3.16,12932.15,1778981.0,1101.0,2020,1
JAKARTA UTARA,CILINCING,ROROTAN,10.64,4035.16,1778981.0,1101.0,2020,0
JAKARTA UTARA,CILINCING,SEMPER BARAT,1.59,49155.72,1778981.0,1101.0,2020,1
JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,2.61,16282.73,1778981.0,1101.0,2020,1
JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,3.53,25121.55,1778981.0,1101.0,2020,1
JAKARTA UTARA,PADEMANGAN,ANCOL,3.77,8123.67,1778981.0,1101.0,2020,0
JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,5.31,7147.08,1778981.0,1101.0,2020,0
JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,6.28,8572.61,1778981.0,1101.0,2020,0
JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,4.53,8816.43,1778981.0,1101.0,2020,0
JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3.61,20239.61,2434511.0,1182.0,2020,1
JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5.91,14289.34,2434511.0,1182.0,2020,1
JAKARTA BARAT,CENGKARENG,RAWA BUAYA,4.07,16852.79,2434511.0,1182.0,2020,1
JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2.81,12882.89,2434511.0,1182.0,2020,1
JAKARTA BARAT,CENGKARENG,KAPUK,5.63,26337.71,2434511.0,1182.0,2020,1
JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,4.52,19419.93,2434511.0,1182.0,2020,1
JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1.22,16074.46,2434511.0,1182.0,2020,1
JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,1.34,14561.99,2434511.0,1182.0,2020,1
JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,2.9,22314.68,3037139.0,1518.0,2020,0
JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,1.63,24625.13,3037139.0,1518.0,2020,0
JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,1.15,49615.45,3037139.0,1518.0,2020,0
JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,1.52,26346.48,3037139.0,1518.0,2020,0
JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,2.03,24647.94,3037139.0,1518.0,2020,0
JAKARTA TIMUR,KRAMAT JATI,DUKUH,1.98,13993.13,3037139.0,1518.0,2020,0
JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,2.55,20698.36,3037139.0,1518.0,2020,0
JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,1.67,18874.89,3037139.0,1518.0,2020,0
JAKARTA TIMUR,KRAMAT JATI,CILILITAN,1.76,26926.11,3037139.0,1518.0,2020,0
JAKARTA TIMUR,KRAMAT JATI,CAWANG,1.79,22083.33,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PASAR REBO,GEDONG,2.63,15223.23,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PASAR REBO,BARU,1.89,14487.69,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PASAR REBO,CIJANTUNG,2.38,19155.1,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PASAR REBO,KALISARI,2.89,16127.14,3037139.0,1518.0,2020,0
JAKARTA TIMUR,PASAR REBO,PEKAYON,3.18,15085.45,3037139.0,1518.0,2020,0
JAKARTA TIMUR,CAKUNG,JATINEGARA,6.6,14856.69,3037139.0,1518.0,2020,0
JAKARTA TIMUR,CAKUNG,RAWA TERATE,3.3,9392.73,3037139.0,1518.0,2020,0
JAKARTA TIMUR,CAKUNG,PENGGILINGAN,4.48,23987.96,3037139.0,1518.0,2020,0
JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,9.81,6685.67,3037139.0,1518.0,2020,0
JAKARTA TIMUR,CAKUNG,PULO GEBANG,6.92,14713.73,3037139.0,1518.0,2020,0
JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,5.04,6541.86,3037139.0,1518.0,2020,0
JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,6.12,10931.37,3037139.0,1518.0,2020,0
